"id","url","type","crawler","timestamp","amount"
"0","https://www.sms.at/smartzone/sms-sprueche/blondinenwitze-59/","joke","smsat","2022-01-31 21:35:46.226460","90"
"1","https://www.sms.at/smartzone/sms-sprueche/chuck-norris-facts-1093/","cn","smsat","2022-01-31 21:35:47.859032","127"
"2","https://www.sms.at/smartzone/sms-sprueche/spassiges-allerlei-19/","joke","smsat","2022-01-31 21:35:51.257533","308"
"3","https://www.sms.at/smartzone/sms-sprueche/weisheiten-37/","joke","smsat","2022-01-31 21:35:58.711582","477"
"4","https://www.sms.at/smartzone/sms-sprueche/zitate-60/","citate","smsat","2022-01-31 21:36:11.917754","181"
"5","https://www.deutsch-lernen.com/witze.php","joke","deutschlernen","2022-01-31 21:36:15.935928","26"
"6","http://witze.net/alle-kinder-witze","citate","witzenet","2022-01-31 21:36:16.750392","100"
"7","http://witze.net/arbeit-witze","citate","witzenet","2022-01-31 21:36:18.999271","160"
"8","http://witze.net/auto-witze","citate","witzenet","2022-01-31 21:36:23.335893","243"
"9","http://witze.net/chef-witze","citate","witzenet","2022-01-31 21:36:28.861981","133"
"10","http://witze.net/chuck-norris-witze","cn","witzenet","2022-01-31 21:36:32.338492","56"
"11","http://witze.net/corona-witze","citate","witzenet","2022-01-31 21:36:32.497677","17"
"12","http://witze.net/ddr-witze","citate","witzenet","2022-01-31 21:36:32.929279","73"
"13","http://witze.net/deutsche-witze","citate","witzenet","2022-01-31 21:36:33.141003","72"
"14","http://witze.net/lehrer-witze","citate","witzenet","2022-01-31 21:36:34.937853","117"
